,Area,Rooms,Yard,Floors,Owners,Year,Basement,Attic,Garage,Storage,Guest,Price
95,70751,64,1,41,9,2006,1506,590,794,1,7,7084110.6
96,81870,60,0,100,8,2020,3632,5960,723,1,3,8198185.0
97,91559,36,0,21,2,2007,788,4788,132,1,8,9161130.7
98,72098,9,0,67,3,2014,9080,9356,740,1,9,7216904.4
99,23177,19,0,52,1,2003,2706,4593,648,1,6,2318776.3
100,39517,92,0,85,6,2019,7618,1172,810,1,9,3953491.9
101,55232,23,0,8,3,1991,1492,5697,625,0,6,5524015.1
102,53735,49,0,92,7,2006,8654,9588,290,1,8,5384554.6
103,67753,72,1,78,9,1995,7480,2068,929,0,6,6789580.5
104,1450,59,0,1,9,2018,1285,8119,869,1,10,146181.8
105,82141,93,1,61,7,2019,8785,6602,968,1,4,8225970.9
106,17868,73,1,35,9,2013,1718,5498,710,1,2,1792308.3
107,71397,71,0,93,10,1995,3477,5530,342,0,2,7145471.5
108,32623,35,0,14,6,2003,4633,7551,126,0,8,3267852.3
109,23841,71,1,25,7,2010,7590,5224,564,1,1,2390804.0
110,16495,94,0,6,10,1991,2214,1464,929,1,7,1650711.1
111,39109,24,1,67,3,2002,1642,2925,139,0,9,3917652.2
112,65151,81,1,3,9,1991,3218,9119,849,0,4,6522781.1
113,61484,91,1,94,8,2013,5486,3641,766,0,3,6154833.3
114,57160,15,1,43,8,2002,4018,4871,836,1,2,5724102.2
115,13346,57,0,57,8,2021,2525,545,809,0,8,1336414.1
116,27351,77,0,36,1,1997,1150,3100,812,1,0,2738851.7
117,18466,50,0,60,2,2020,2475,1376,568,0,5,1849227.0
118,45441,29,1,66,5,2004,8121,2996,853,0,6,4552319.4
119,55933,15,0,97,8,2001,7369,6739,686,1,6,5599976.1
120,81936,68,0,92,1,2011,6393,9082,734,0,0,8198107.1
121,18237,70,1,74,6,2011,7173,9144,498,1,9,1833338.1
122,35631,54,1,7,6,2018,216,1339,775,1,10,3568002.8
123,99683,12,1,77,8,2002,4034,2877,787,1,6,9977000.2
124,47664,44,0,77,3,2010,2662,5433,417,0,6,4770073.0
125,62887,45,0,7,3,1993,292,744,675,0,4,6293710.3
126,18470,20,1,73,1,2000,4089,9245,905,1,6,1852115.0
127,36031,63,1,47,8,2001,9701,1325,514,0,4,3612495.1
128,22776,84,0,5,9,1993,2422,1918,544,1,7,2278599.3
129,14830,81,1,1,10,1992,6151,1651,243,0,9,1487488.2
130,43944,40,1,69,5,2012,7466,6556,735,1,6,4403326.2
131,73062,34,1,38,8,2016,9823,7174,728,1,0,7313447.6
132,84284,76,0,39,1,1998,4500,4877,480,0,6,8432554.8
133,9619,66,1,91,5,1991,1069,3823,927,0,10,969806.1
134,11410,96,0,96,3,2019,1466,3642,933,1,1,1150663.9
135,29855,63,0,23,5,2000,3861,7495,204,0,6,2987645.0
136,46716,94,0,58,5,2008,1361,6855,409,0,3,4674140.8
137,77046,69,1,85,2,1992,8135,1401,648,0,3,7714235.2
138,58855,1,0,66,7,2004,2267,3070,531,0,3,5892518.4
139,69165,66,1,74,4,2009,1543,9736,939,1,9,6926290.9
140,57915,25,0,84,4,2007,3394,4287,640,0,5,5800324.7
141,66279,47,1,9,2,2003,5079,3156,128,0,10,6631365.3
142,16068,21,1,13,8,1991,8893,2564,463,0,2,1611707.1
143,74325,50,1,58,10,1994,4008,1952,275,0,5,7443433.4
144,35742,46,1,47,1,2014,1732,6019,243,0,7,3581003.4
145,9026,51,1,28,5,2000,779,9037,482,0,10,904797.0
146,16899,19,0,14,4,2020,5710,907,302,1,7,1693690.0
147,99854,82,0,64,8,2009,4827,2626,918,0,7,9989598.9
148,33743,56,1,29,8,2006,7330,3012,345,0,6,3382812.6
149,72798,22,1,30,3,2007,2209,2120,637,0,7,7290431.7
150,86492,21,0,86,7,1992,7843,5348,463,0,0,8654049.2
151,38937,35,0,77,6,2013,1312,1272,794,0,1,3901433.3
152,24762,22,0,62,10,1999,5264,3986,502,1,1,2480900.9
153,91047,45,0,65,2,1999,7241,1060,757,1,1,9109264.9
154,55527,64,0,44,2,2005,9385,9507,786,1,9,5557814.5
155,70606,17,1,79,3,2017,4927,1285,197,0,5,7070662.7
156,67327,47,0,87,3,1990,1097,8551,964,0,10,6741466.0
157,6125,90,0,29,2,2012,6423,7934,846,0,10,615143.2
158,71833,37,0,51,5,2013,3772,2045,580,1,6,7185318.3
159,20811,98,1,71,4,1995,112,53,586,0,3,2090690.5
160,7643,98,0,63,3,1999,2142,7748,983,1,7,765618.9
161,16669,95,1,81,3,2007,6109,1409,239,1,1,1676719.7
162,84006,73,1,97,7,2000,9698,6310,837,0,4,8409827.0
163,34059,49,0,90,8,1993,4138,5337,347,0,2,3412619.3
164,36131,95,0,88,8,1991,1046,8463,331,0,8,3620939.1
165,8201,18,1,66,2,2007,4949,5811,185,1,6,826967.7
166,38398,84,0,22,8,1994,1618,9458,404,0,8,3842545.4
167,38833,10,0,14,3,2014,1828,7626,462,1,8,3884619.4
168,41488,22,0,59,1,2013,2090,4438,650,0,3,4151539.3
169,5205,2,0,15,3,2005,8342,4705,742,0,0,521650.5
170,45066,28,0,62,5,2013,7092,6757,924,1,0,4508367.3
171,63875,53,1,14,3,1999,4139,7178,152,0,6,6394774.9
172,25052,88,0,94,6,2020,718,6346,703,0,10,2515214.0
173,51457,64,0,32,10,2016,3016,1891,633,1,4,5150600.6
174,84396,64,0,96,7,2015,7416,6190,593,1,2,8449333.5
175,64920,98,0,63,8,2016,2287,8181,426,1,6,6501809.6
176,9166,4,1,16,1,2015,6838,9438,842,1,8,922847.5
177,85558,48,1,83,9,2017,7997,655,374,1,0,8568781.7
178,87267,75,1,81,10,2019,6899,1628,666,1,4,8731940.9
179,96091,100,0,24,3,1999,6546,4094,373,0,6,9615021.9
180,38003,98,1,6,10,2008,9981,6500,129,0,2,3803545.8
181,83120,97,0,68,6,2015,15,4581,481,0,1,8318749.5
182,20468,100,1,34,4,2003,9659,6233,802,0,0,2049846.3
183,75152,91,1,37,3,2018,4717,5685,412,0,2,7518709.8
184,32688,9,1,18,5,2013,9089,6967,398,1,7,3274057.3
185,45868,72,1,69,7,1994,7668,9908,216,0,10,4600708.4
186,73900,69,0,36,3,2018,9847,6227,140,1,4,7394635.8
187,16000,41,1,25,4,2007,7228,764,138,0,6,1606948.7
188,1423,59,0,30,4,1993,3900,1985,879,0,8,149234.3
189,29951,37,1,13,8,1995,5692,9582,762,0,0,3002371.5
190,40231,84,0,41,5,1999,5700,303,758,1,0,4030226.9
191,59517,38,1,69,8,2003,6831,2741,727,1,6,5958698.3
192,98969,26,1,69,8,2003,3744,5809,992,1,5,9902968.3
193,99177,49,0,41,10,2021,6326,6738,429,1,3,9919217.1
194,89157,46,0,42,6,2009,3510,781,290,1,4,8920282.9
195,67429,60,0,24,7,1991,3578,3600,858,1,1,6749654.1
196,38431,57,1,60,3,2020,4121,3307,374,0,8,3848467.0
197,72495,76,1,59,10,1994,3413,2245,254,1,0,7259025.4
198,85362,77,1,19,5,1997,7728,8516,186,1,4,8541211.7
199,28597,93,0,47,9,1990,4492,270,714,0,8,2863386.0
200,13687,36,1,93,5,2001,4148,6383,590,0,5,1376329.1
201,50479,3,0,73,9,2020,4149,6785,188,0,5,5057657.0
202,98121,38,0,57,4,1995,6028,8690,275,0,2,9817494.5
203,57736,16,0,21,6,1999,6099,1511,588,0,2,5775940.9
204,30356,40,0,85,1,1992,7660,774,551,0,8,3039209.2
205,21141,38,0,80,3,1998,169,8853,697,1,10,2126023.8
206,98122,34,0,7,4,2009,7125,7272,186,1,5,9813433.9
207,34746,12,1,15,5,2000,2840,3137,377,0,4,3478332.0
208,17297,43,1,19,5,2012,3216,5586,243,1,2,1738971.2
209,80324,47,1,7,2,1993,325,3203,109,0,9,8039714.3
210,15815,13,1,2,1,2019,637,7880,552,0,4,1585031.9
211,1066,5,1,46,9,2017,2723,9228,524,1,5,114605.7
212,79275,95,0,67,9,1995,3689,7215,132,1,3,7930383.5
213,20658,7,1,48,10,1997,8080,9560,341,1,10,2076936.7
214,8687,88,0,64,6,1993,7414,6075,710,1,3,877525.3
215,69638,42,1,63,2,1991,4703,7032,937,1,6,6977654.1
216,94036,18,0,19,9,2001,5913,178,986,0,10,9406163.1
217,60889,72,0,87,8,2018,7437,4833,131,0,7,6091341.8
218,11680,21,0,14,1,1992,7478,6846,921,1,6,1169431.2
219,11458,96,1,31,5,2010,1365,3757,321,0,6,1154040.0
220,20397,67,0,79,7,1997,705,4914,898,1,3,2042985.7
221,83206,34,1,51,9,1999,9170,9694,327,0,9,8326302.9
222,8951,11,1,63,10,1997,6189,2892,626,0,1,904889.7
223,22854,41,1,89,7,2001,6216,521,481,1,0,2292467.1
224,46042,52,0,74,8,2015,65,9506,946,0,5,4605791.5
225,93506,20,1,28,9,2017,5297,1410,306,1,8,9356982.7
226,58748,76,0,40,5,2010,1627,996,639,0,2,5875981.0
227,715,71,0,23,3,2010,8609,3736,740,1,8,74252.0
228,55327,22,1,59,2,1993,7163,9333,504,1,8,5540589.3
229,63631,84,1,12,10,2000,239,1952,411,1,4,6369055.0
230,77915,99,0,21,10,2018,1081,9015,448,0,4,7793915.8
231,91804,5,0,81,9,1999,8554,1275,930,1,8,9182083.9
232,57295,95,0,69,2,1994,9771,9634,951,1,7,5731510.4
233,61057,65,1,77,8,1998,9762,545,369,1,6,6114671.8
234,91626,83,1,55,5,1991,2684,784,101,1,8,9169068.1
235,29356,96,1,46,9,1990,1780,393,413,1,3,2948071.0
236,27134,62,1,2,7,2003,3718,9140,357,1,3,2715604.3
237,1682,65,1,79,3,2017,2590,425,659,1,4,174918.7
238,98868,41,0,67,3,2021,2146,1077,623,1,3,9892300.1
239,23898,62,1,93,9,1996,8256,4656,136,0,1,2399286.6
240,83110,43,1,75,10,2001,4108,5663,380,1,7,8321631.1
241,71154,67,0,53,6,2021,8418,7187,706,0,8,7122699.1
242,90841,48,1,15,5,2003,3333,149,842,0,9,9086177.3
243,68416,87,1,48,7,2010,1811,6776,424,0,6,6846709.0
244,47585,95,0,5,1,1993,5101,89,639,0,0,4759724.3
245,28452,79,1,40,10,2006,388,1889,566,1,2,2850377.6
246,15630,78,1,4,3,1996,7084,4158,225,1,0,1565985.6
247,65900,36,1,99,5,2017,2637,1038,452,0,1,6605894.7
248,21600,94,1,56,8,2000,3129,6029,236,1,3,2166421.0
249,74704,31,0,22,9,1992,7463,8866,347,0,9,7472587.2
250,87291,78,1,42,3,2017,6214,3127,596,1,2,8739254.7
251,96687,65,0,81,4,2012,2438,8183,695,1,6,9673884.2
252,60567,65,1,100,6,2019,7010,7994,993,1,0,6071330.9
253,4872,41,0,74,6,1990,5851,1579,473,0,6,489455.0
254,9157,48,1,53,10,2009,6401,6536,488,0,8,922102.9
255,65217,26,1,39,8,2019,1374,3300,804,0,10,6531999.9
256,87346,56,1,82,9,1990,5792,549,947,1,4,8743241.0
257,47701,26,1,46,5,2001,5447,3025,610,0,3,4773352.1
258,14766,50,0,79,1,2001,8031,383,643,0,4,1488265.1
259,94841,19,1,75,5,1998,3157,986,585,1,6,9498026.8
260,59318,92,0,91,8,2002,9413,9619,425,1,5,5939275.2
261,1796,28,0,4,1,1997,8360,2070,142,0,4,180265.7
262,96526,36,1,34,2,2020,2131,710,680,1,0,9661068.0
263,62876,36,0,9,8,2006,338,8342,740,1,4,6288117.6
264,59558,43,1,89,3,2012,9174,4094,712,1,5,5967916.2
265,97008,89,0,4,5,2014,8321,5231,369,1,0,9703551.4
266,66746,6,1,10,3,1997,1567,9732,378,1,3,6678869.7
267,25776,36,0,93,9,2002,688,5948,954,1,10,2582235.2
268,96195,97,0,64,4,2018,3874,9414,892,0,3,9626665.8
269,4805,47,1,99,5,1995,2788,4069,839,1,0,486824.5
270,23045,21,1,75,5,1990,651,4309,607,0,0,2312202.0
271,95441,70,0,65,10,2017,2841,3067,404,1,3,9554998.7
272,28381,34,1,64,2,2009,6737,1660,502,1,2,2847241.9
273,15731,34,1,37,2,2003,7361,4828,277,0,5,1582940.3
274,18966,58,1,25,4,2019,2327,7431,823,0,0,1902151.9
275,24393,46,1,16,8,2019,4080,4764,619,1,2,2449464.9
276,53339,67,0,11,1,2013,368,8180,312,0,3,5335546.3
277,44053,17,1,55,3,2004,6586,382,258,0,3,4413295.4
278,70898,98,0,92,1,1994,4848,784,942,1,3,7091863.4
279,84483,41,1,85,3,2019,6052,369,651,1,6,8452134.9
280,35716,24,1,52,2,2013,8821,9581,991,0,10,3574932.3
281,64693,64,0,81,9,2013,7506,6802,687,0,7,6471378.3
282,32593,40,1,94,9,2006,2261,9719,871,1,2,3265750.6
283,1607,63,1,52,8,2020,2844,5531,878,0,7,173112.0
284,39484,74,0,30,4,1991,3172,2821,172,1,9,3954971.1
285,32458,28,1,20,3,2015,8462,890,523,1,7,3253846.5
286,72243,64,0,23,1,2004,4431,8585,752,1,3,7229477.4
287,20624,44,1,83,2,1996,318,6191,606,0,4,2070369.6
288,7443,38,1,41,8,2005,3249,4423,503,0,1,748338.5
289,78382,41,0,14,1,2020,8751,7515,985,1,6,7840062.0
290,70614,15,1,100,5,2010,4845,8727,991,0,2,7075926.0
291,32235,59,1,10,6,2016,7388,828,488,0,10,3225143.6
292,2523,12,1,67,10,2015,150,473,949,1,1,260710.5
293,87864,55,0,77,4,2019,7834,7083,745,0,9,8790481.9
294,18316,97,0,3,5,1991,5804,2070,846,1,9,1832673.1
295,94471,30,1,79,1,2011,1327,6342,285,0,3,9454072.1
296,60704,96,1,29,10,2004,4505,9766,847,1,2,6080655.4
297,54020,4,1,64,3,2013,8767,4062,882,1,4,5406334.3
298,59612,37,1,56,7,2017,5616,5474,914,1,2,5967739.7
299,56467,63,0,41,2,1990,2743,5018,815,0,0,5649094.0
300,65625,55,0,36,10,2015,774,1091,958,1,10,6567597.5
301,41570,76,0,98,4,2014,3573,3494,486,1,10,4167932.4
302,44862,99,0,68,5,1992,9383,3076,631,0,3,4493882.2
303,47212,37,1,81,4,2001,7210,5160,159,0,9,4734236.1
304,2840,17,1,26,4,2004,6848,5362,294,1,10,288797.4
305,40465,85,0,100,9,2004,6327,1053,403,1,0,4052600.4
306,17191,80,1,29,5,1995,3192,2786,716,1,9,1728829.5
307,56480,85,1,80,3,2016,8211,9476,532,0,1,5653048.6
308,70503,78,0,29,6,2021,6819,4897,948,0,4,7051701.1
309,4885,100,0,54,8,1993,9519,8043,718,0,6,493693.3
310,58263,65,1,57,10,2006,7942,6968,786,1,3,5840294.6
311,47647,52,0,6,2,2002,3220,9457,171,1,10,4768169.2
312,57916,51,0,24,1,1998,3831,5615,356,1,1,5792783.8
313,6396,71,0,40,6,2005,413,3302,682,0,9,643620.5
314,41972,18,0,49,7,1995,842,820,846,0,0,4206464.5
315,94311,11,1,47,1,2007,3619,128,868,0,7,9439790.7
316,10714,41,0,98,6,1996,2598,1190,631,1,6,1075982.6
317,11259,26,0,82,4,2010,902,3876,125,1,7,1134964.0
318,3534,16,1,13,1,2003,5811,6473,900,0,0,359850.3
319,52680,10,0,79,4,1991,5687,2005,242,0,0,5274696.1
320,62711,60,0,29,10,2007,4484,5437,329,0,6,6272944.7
321,19268,12,1,77,5,2010,1133,5202,357,1,3,1938014.0
322,36119,39,1,46,4,2019,3958,3737,889,1,3,3620813.9
323,28394,53,0,7,8,2003,63,8840,328,0,2,2840816.3
324,20392,33,1,84,5,2007,1256,7011,171,1,2,2046763.7
325,7259,25,1,39,4,2014,6482,2430,537,0,5,735079.4
326,28183,81,0,52,2,1993,2798,5783,525,1,10,2821593.3
327,92188,14,0,95,2,1996,61,7526,693,0,0,9227140.6
328,29815,28,0,77,7,1995,3530,2821,663,0,0,2989048.5
329,50219,96,1,54,6,2003,8051,8796,965,1,0,5025975.3
330,1722,56,0,84,8,2002,6240,8680,497,1,2,182838.2
331,70399,14,0,85,5,2013,8009,9856,255,0,4,7048784.3
332,28790,52,1,15,6,2021,1238,5370,218,0,4,2883447.1
333,92962,7,1,37,1,2000,6581,1046,315,0,3,9304587.0
334,34245,2,1,85,4,2010,251,3567,918,1,5,3430728.0
335,54677,64,1,94,10,1996,1236,3643,537,1,2,5477618.6
336,74227,84,1,5,7,2000,4609,7857,378,0,5,7427853.0
337,94939,46,1,48,10,2009,9164,9600,351,1,7,9503765.9
338,48884,58,1,32,7,2010,311,1098,729,0,9,4895277.0
339,10638,39,0,33,4,2016,3142,3829,138,1,10,1066200.6
340,90315,61,1,91,7,1994,5604,3492,490,1,7,9044477.4
341,17633,28,0,83,2,2013,1644,8999,162,1,2,1767487.3
342,63242,45,0,18,10,2017,6932,5206,340,1,1,6327623.7
343,79344,46,1,42,3,1991,8088,4938,744,1,7,7945562.1
344,72093,48,0,92,1,2005,4805,7,148,0,9,7223902.5
345,13378,59,1,9,1,2001,8171,5848,488,0,7,1342476.1
346,47019,35,0,9,4,2020,2005,1643,694,1,6,4706162.0
347,34666,75,1,14,2,2002,9405,9154,186,1,6,3477313.2
348,93509,28,1,62,2,1992,72,9223,731,1,6,9361261.2
349,13583,42,1,32,2,2015,4519,3442,911,0,10,1364589.5
350,19649,11,0,83,4,1999,595,6282,795,1,2,1970018.9
351,141,16,0,58,4,1997,3411,8985,213,0,4,22670.7
352,22821,64,1,14,8,1993,2060,103,491,1,2,2289134.3
353,533,76,1,55,8,2021,654,3585,301,0,9,65465.1
354,67020,71,1,38,7,2015,3647,997,640,0,1,6711051.5
355,49094,30,1,49,2,2021,4934,3570,625,1,8,4916616.1
356,25269,88,0,92,7,2019,3464,5175,693,1,1,2530193.9
357,71989,41,0,77,3,2003,7290,4027,337,1,4,7204744.3
358,73180,1,1,54,7,2011,3340,452,784,1,10,7325717.1
359,18926,58,1,84,4,1998,5353,4021,442,1,8,1908217.8
360,6492,76,0,88,3,2018,2655,6299,372,0,9,652565.8
361,98045,4,1,8,5,2002,9321,2416,570,1,0,9814193.2
362,51589,83,0,43,10,1998,7867,7522,819,1,5,5167451.8
363,24390,75,1,44,9,1992,7295,6840,235,0,1,2446317.2
364,75890,10,0,59,5,2001,270,3676,744,0,8,7597786.1
365,29220,9,0,59,6,1994,391,8842,706,0,0,2929116.4
366,72433,57,1,18,7,2001,6995,8567,276,1,0,7250644.1
367,57467,98,0,64,3,1993,661,9428,600,1,2,5749361.3
368,81482,76,1,9,7,1997,2265,3606,281,0,6,8153070.7
369,61346,69,0,52,10,2009,7427,5864,207,1,10,6141452.9
370,80915,23,1,67,6,1992,5351,1864,569,0,0,8104297.2
371,65479,74,0,35,5,2000,9347,1817,460,0,10,6552454.0
372,48302,22,1,13,9,2017,9855,6297,543,1,1,4833604.7
373,76690,21,1,99,1,1990,611,2112,181,1,8,7682267.0
374,14447,39,0,23,8,2002,5371,9535,965,0,6,1448447.2
375,24213,31,1,93,7,1994,1561,1228,653,0,5,2431969.4
376,1843,30,1,3,7,2007,1313,9063,706,0,5,189919.7
377,78183,65,1,86,9,2007,8682,588,748,1,4,7829898.7
378,99323,35,0,28,7,2018,6346,6556,280,1,3,9939399.8
379,67491,21,0,57,7,2007,1253,1592,254,1,0,6750826.7
380,2588,82,1,69,5,2016,7247,9670,987,0,8,267798.6
381,76635,6,1,1,5,1999,981,5857,949,1,1,7669791.9
382,45070,100,0,92,9,1997,1333,989,885,1,0,4510977.7
383,62381,58,1,44,4,2003,1809,2821,734,1,6,6243323.3
384,98543,2,1,44,3,1992,2955,6151,661,0,7,9860222.2
385,13972,39,0,8,2,2009,1477,3153,952,1,2,1397748.9
386,71567,70,0,94,8,1992,5968,1718,985,0,4,7166917.2
387,36804,99,0,12,8,1996,6951,6584,594,1,6,3681839.6
388,21297,71,1,14,3,1995,8198,4951,111,0,4,2136801.5
389,9950,1,1,69,10,2012,3156,6914,174,0,4,1000736.2
390,3661,50,1,24,8,2007,6186,862,613,0,7,372556.7
391,88102,51,1,70,3,2016,7245,6073,496,1,9,8821018.6
392,72596,91,0,90,6,2015,9595,1266,156,1,0,7262781.5
393,70763,4,1,38,4,2015,7098,5958,484,0,9,7082373.5
394,12002,58,0,41,8,1995,1718,3877,867,1,1,1203664.5
395,26146,34,0,98,9,2011,2060,7566,680,1,7,2627462.1
396,13716,62,0,98,8,1990,5967,1070,911,0,10,1382883.0
397,23281,32,1,52,10,2020,3681,3220,422,1,3,2339782.0
398,3824,45,1,9,6,2019,3191,6677,305,0,0,386574.9
399,56086,3,1,46,2,2021,2853,1194,863,0,1,5615576.1
400,19014,67,1,89,2,1999,3330,8941,550,0,6,1912984.9
401,80808,59,1,1,5,2004,3879,8229,434,0,5,8085990.4
402,83602,5,0,2,7,1991,8993,8003,496,1,5,8365162.1
403,99767,27,0,79,8,2018,520,7948,495,1,2,9985836.8
404,60675,32,1,51,7,2002,5953,6958,260,0,6,6075733.2
405,20210,2,1,78,8,2007,2811,9309,218,0,4,2029228.7
406,28694,82,0,20,3,1991,3206,2352,310,1,3,2870499.1
407,45521,53,0,32,9,1991,8643,2999,670,0,7,4554205.1
408,55727,46,0,77,5,2016,5811,42,183,0,2,5574845.6
409,17307,20,1,66,8,2006,2317,5409,692,0,2,1740869.6
410,86474,98,0,33,6,2004,1928,4232,220,0,7,8649993.4
411,6012,53,1,38,7,2013,392,2928,423,0,4,607323.3
412,6617,51,0,38,4,2010,7115,5340,248,0,10,663333.0
