age,job,marital,education,balance,housing,loan,day,month,duration,contact_count,previous,outcome
25,blue-collar,married,secondary,-7,1,0,5,5,365,1,0,0
53,technician,married,secondary,-3,0,0,5,5,1666,1,0,0
36,admin.,divorced,secondary,506,1,0,5,5,577,1,0,0
37,admin.,single,secondary,0,1,0,5,5,137,1,0,0
44,services,divorced,secondary,2586,1,0,5,5,160,1,0,0
50,management,married,secondary,49,1,0,5,5,180,2,0,0
54,retired,married,secondary,529,1,0,5,5,1492,1,0,0
36,admin.,single,primary,-171,1,0,5,5,242,1,0,0
58,self-employed,married,tertiary,-364,1,0,5,5,355,1,0,0
44,technician,married,secondary,0,1,0,5,5,225,2,0,0
55,technician,divorced,secondary,0,0,0,5,5,160,1,0,0
29,management,single,tertiary,0,1,0,5,5,363,1,0,0
54,blue-collar,married,secondary,1291,1,0,5,5,266,1,0,0
48,management,divorced,tertiary,-244,1,0,5,5,253,1,0,0
32,management,married,tertiary,0,1,0,5,5,179,1,0,0
42,admin.,single,secondary,-76,1,0,5,5,787,1,0,0
24,technician,single,secondary,-103,1,1,5,5,145,1,0,0
38,entrepreneur,single,tertiary,243,0,1,5,5,174,1,0,0
38,management,single,tertiary,424,1,0,5,5,104,1,0,0
46,services,married,primary,179,1,0,5,5,1778,1,0,0
32,admin.,married,tertiary,0,1,0,5,5,138,1,0,0
53,technician,divorced,secondary,989,1,0,5,5,812,1,0,0
57,blue-collar,married,primary,249,1,0,5,5,164,1,0,0
33,services,married,secondary,790,1,0,5,5,391,1,0,0
51,management,married,tertiary,6530,1,0,5,5,91,1,0,0
60,retired,married,tertiary,100,0,0,5,5,528,1,0,0
59,management,divorced,tertiary,59,1,0,5,5,273,1,0,0
55,technician,married,secondary,1205,1,0,5,5,158,2,0,0
35,blue-collar,single,secondary,12223,1,1,5,5,177,1,0,0
57,blue-collar,married,secondary,5935,1,1,5,5,258,1,0,0
31,services,married,secondary,25,1,1,5,5,172,1,0,0
54,management,married,secondary,282,1,1,5,5,154,1,0,0
55,blue-collar,married,primary,23,1,0,5,5,291,1,0,0
43,technician,married,secondary,1937,1,0,5,5,181,1,0,0
53,technician,married,secondary,384,1,0,5,5,176,1,0,0
44,blue-collar,married,secondary,582,0,1,5,5,211,1,0,0
55,services,divorced,secondary,91,0,0,5,5,349,1,0,0
49,services,divorced,secondary,0,1,1,5,5,272,1,0,0
55,services,divorced,secondary,1,1,0,5,5,208,1,0,0
45,admin.,single,secondary,206,1,0,5,5,193,1,0,0
47,services,divorced,secondary,164,0,0,5,5,212,1,0,0
42,technician,single,secondary,690,1,0,5,5,20,1,0,0
59,admin.,married,secondary,2343,1,0,5,5,1042,1,0,1
46,self-employed,married,tertiary,137,1,1,5,5,246,1,0,0
51,blue-collar,married,primary,173,1,0,5,5,529,2,0,0
56,admin.,married,secondary,45,0,0,5,5,1467,1,0,1
41,technician,married,secondary,1270,1,0,5,5,1389,1,0,1
46,management,divorced,secondary,16,1,1,5,5,188,2,0,0
57,retired,married,secondary,486,1,0,5,5,180,2,0,0
42,management,single,secondary,50,0,0,5,5,48,1,0,0
30,technician,married,secondary,152,1,1,5,5,213,2,0,0
60,admin.,married,secondary,290,1,0,5,5,583,1,0,0
57,entrepreneur,divorced,secondary,-37,0,0,5,5,173,1,0,0
36,management,married,tertiary,101,1,1,5,5,426,1,0,0
55,blue-collar,married,secondary,383,0,0,5,5,287,1,0,0
60,retired,married,tertiary,81,1,0,5,5,101,1,0,0
39,technician,married,secondary,0,1,0,5,5,203,1,0,0
46,management,married,tertiary,229,1,0,5,5,197,1,0,0
44,blue-collar,married,secondary,-674,1,0,5,5,257,1,0,0
53,blue-collar,married,primary,90,0,0,5,5,124,1,0,0
52,blue-collar,married,primary,128,1,0,5,5,229,1,0,0
59,blue-collar,married,primary,179,1,0,5,5,55,3,0,0
27,technician,single,tertiary,0,1,0,5,5,400,1,0,0
44,blue-collar,married,secondary,54,1,0,5,5,197,1,0,0
47,technician,married,tertiary,151,1,0,5,5,190,1,0,0
34,admin.,married,secondary,61,0,1,5,5,21,1,0,0
59,retired,single,secondary,30,1,0,5,5,514,1,0,0
45,management,married,tertiary,523,1,0,5,5,849,2,0,0
29,services,divorced,secondary,31,1,0,5,5,194,1,0,0
46,technician,divorced,secondary,79,0,0,5,5,144,1,0,0
56,self-employed,married,primary,-34,1,1,5,5,212,2,0,0
36,blue-collar,married,primary,448,1,0,5,5,286,1,0,0
59,retired,divorced,primary,81,1,0,5,5,107,1,0,0
44,blue-collar,married,secondary,144,1,0,5,5,247,2,0,0
41,admin.,married,secondary,351,1,0,5,5,518,1,0,0
33,management,single,tertiary,-67,1,0,5,5,364,1,0,0
59,management,divorced,tertiary,262,0,0,5,5,178,1,0,0
57,technician,married,primary,0,0,0,5,5,98,1,0,0
51,blue-collar,married,secondary,26,1,0,5,5,79,1,0,0
43,services,married,secondary,41,1,1,5,5,127,2,0,0
52,technician,married,tertiary,7,0,1,5,5,175,1,0,0
33,technician,single,secondary,105,1,0,5,5,262,2,0,0
29,admin.,single,secondary,818,1,1,5,5,61,1,0,0
34,services,married,secondary,-16,1,1,5,5,78,1,0,0
31,blue-collar,married,secondary,0,1,0,5,5,143,1,0,0
55,services,married,secondary,2476,1,0,5,5,579,1,0,1
32,admin.,single,secondary,217,1,0,5,5,345,1,0,0
38,technician,single,secondary,1685,1,0,5,5,185,1,0,0
55,admin.,single,secondary,802,1,1,5,5,100,2,0,0
28,unemployed,single,tertiary,0,1,0,5,5,125,2,0,0
23,blue-collar,married,secondary,94,1,0,5,5,193,1,0,0
32,technician,single,secondary,0,1,0,5,5,136,1,0,0
32,blue-collar,married,secondary,517,1,0,5,5,528,1,0,0
46,blue-collar,married,secondary,265,1,0,5,5,541,1,0,0
53,housemaid,divorced,primary,947,1,0,5,5,163,1,0,0
34,self-employed,single,secondary,3,1,0,5,5,301,1,0,0
57,unemployed,married,tertiary,42,0,0,5,5,46,1,0,0
37,blue-collar,married,secondary,37,1,0,5,5,204,1,0,0
59,blue-collar,married,secondary,57,1,0,5,5,98,1,0,0
33,services,married,secondary,22,1,0,5,5,71,1,0,0
56,blue-collar,divorced,primary,8,1,0,5,5,157,2,0,0
48,unemployed,married,secondary,293,1,0,5,5,243,1,0,0
43,services,married,primary,3,1,0,5,5,186,2,0,0
54,blue-collar,married,primary,348,1,0,5,5,579,2,0,0
26,student,single,secondary,0,1,0,5,5,610,2,0,0
40,management,married,tertiary,-4,1,0,5,5,2033,1,0,0
39,management,married,secondary,18,1,0,5,5,85,1,0,0
50,technician,married,primary,139,0,0,5,5,114,2,0,0
41,services,married,secondary,0,1,0,5,5,114,2,0,0
60,retired,divorced,secondary,216,1,0,5,5,238,1,0,0
52,blue-collar,married,secondary,782,1,0,5,5,93,3,0,0
48,blue-collar,married,secondary,904,1,0,5,5,128,2,0,0
39,technician,single,tertiary,47,1,0,5,5,181,1,0,0
47,services,single,secondary,176,1,0,5,5,303,2,0,0
40,blue-collar,married,secondary,1225,1,0,5,5,558,5,0,0
45,technician,married,secondary,86,1,0,5,5,270,1,0,0
26,admin.,single,secondary,82,1,0,5,5,228,1,0,0
52,management,married,tertiary,271,1,0,5,5,99,1,0,0
54,technician,married,secondary,1378,1,0,5,5,240,1,0,0
54,admin.,married,tertiary,184,0,0,5,5,673,2,0,1
50,blue-collar,married,primary,0,0,0,5,5,233,3,0,0
35,blue-collar,married,secondary,0,1,0,5,5,1056,1,0,0
44,services,married,secondary,1357,1,1,5,5,250,1,0,0
35,retired,single,primary,434,0,0,5,5,138,1,0,0
60,admin.,divorced,secondary,92,1,0,5,5,130,1,0,0
53,admin.,divorced,secondary,1151,1,0,5,5,412,1,0,0
48,unemployed,married,secondary,41,1,0,5,5,179,2,0,0
34,technician,married,secondary,51,1,0,5,5,19,2,0,0
54,services,married,secondary,214,1,0,5,5,458,2,0,0
51,management,married,secondary,1161,1,0,5,5,717,1,0,0
31,services,married,tertiary,37,1,0,5,5,313,1,0,0
35,technician,divorced,secondary,787,1,0,5,5,683,2,0,0
35,services,married,secondary,59,1,0,5,5,1077,1,0,0
38,technician,married,secondary,253,1,0,5,5,416,1,0,0
36,admin.,married,tertiary,211,1,0,5,5,146,2,0,0
58,retired,married,primary,235,1,0,5,5,167,1,0,0
54,management,married,secondary,4080,0,0,5,5,140,1,0,0
34,blue-collar,single,secondary,53,1,1,5,5,346,1,0,0
31,management,single,tertiary,0,1,0,5,5,562,1,0,0
51,retired,married,secondary,2127,1,0,5,5,172,1,0,0
33,management,married,tertiary,377,1,0,5,5,217,1,0,0
55,management,married,tertiary,73,1,0,5,5,142,2,0,0
42,admin.,married,secondary,445,1,0,5,5,67,1,0,0
34,blue-collar,married,secondary,243,1,0,5,5,291,1,0,0
33,blue-collar,single,secondary,307,1,0,5,5,309,2,0,0
38,services,married,secondary,155,1,0,5,5,248,1,0,0
50,technician,divorced,tertiary,173,0,1,5,5,98,1,0,0
43,management,married,tertiary,400,1,0,5,5,256,1,0,0
61,blue-collar,divorced,primary,1428,1,0,5,5,82,2,0,0
47,admin.,married,secondary,219,1,0,5,5,577,1,0,0
48,self-employed,married,tertiary,7,1,0,5,5,286,1,0,0
44,blue-collar,married,secondary,575,1,0,5,5,477,1,0,0
35,services,married,secondary,0,1,0,5,5,471,1,0,0
50,services,married,secondary,5699,1,0,5,5,381,2,0,0
41,management,married,tertiary,176,1,1,5,5,42,1,0,0
41,management,married,tertiary,517,1,0,5,5,251,1,0,0
42,retired,married,secondary,56,1,0,5,5,215,1,0,0
38,blue-collar,married,secondary,-390,1,0,5,5,287,1,0,0
53,retired,married,secondary,330,1,0,5,5,216,2,0,0
59,housemaid,divorced,primary,195,0,0,5,5,366,2,0,0
36,services,married,secondary,301,1,0,5,5,210,1,0,0
54,blue-collar,married,primary,-41,1,0,5,5,288,1,0,0
40,technician,married,tertiary,483,1,0,5,5,168,1,0,0
46,housemaid,married,primary,965,0,0,5,5,177,1,0,0
39,management,married,tertiary,378,1,1,5,5,127,2,0,0
40,unemployed,married,secondary,219,1,0,5,5,357,1,0,0
28,blue-collar,married,primary,324,1,0,5,5,175,1,0,0
35,entrepreneur,divorced,secondary,-69,1,0,5,5,300,1,0,0
55,retired,married,secondary,0,0,1,5,5,136,1,0,0
48,blue-collar,married,primary,278,1,0,5,5,125,2,0,0
33,management,single,tertiary,34,1,0,5,5,27,1,0,0
53,services,divorced,secondary,1467,1,0,5,5,124,1,0,0
47,blue-collar,married,primary,-12,1,0,5,5,18,1,0,0
31,services,married,secondary,388,1,0,5,5,730,2,0,0
57,entrepreneur,married,secondary,294,1,0,5,5,746,2,0,0
55,blue-collar,married,primary,627,1,0,5,5,247,1,0,0
45,blue-collar,married,primary,25,1,0,5,5,40,1,0,0
53,admin.,divorced,secondary,315,1,0,5,5,181,2,0,0
37,blue-collar,married,primary,0,1,0,5,5,79,1,0,0
44,admin.,divorced,secondary,66,1,0,5,5,206,1,0,0
49,blue-collar,divorced,primary,-9,1,1,5,5,389,1,0,0
46,technician,married,secondary,349,1,1,5,5,127,1,0,0
38,admin.,married,secondary,0,0,0,5,5,151,1,0,0
43,technician,married,secondary,434,1,0,5,5,117,1,0,0
49,management,married,tertiary,3237,1,0,5,5,232,3,0,0
22,blue-collar,single,secondary,0,1,0,5,5,179,2,0,0
40,management,married,tertiary,207,1,0,5,5,39,1,0,0
39,blue-collar,married,secondary,483,1,0,5,5,282,1,0,0
51,services,married,secondary,2248,1,0,5,5,714,2,0,0
49,admin.,married,secondary,428,1,0,5,5,50,1,0,0
53,blue-collar,married,secondary,0,1,1,5,5,181,1,0,0
34,services,single,secondary,0,1,0,5,5,142,1,0,0
33,technician,divorced,secondary,140,1,0,5,5,227,1,0,0
50,management,single,tertiary,297,1,0,5,5,119,1,0,0
39,blue-collar,married,primary,279,1,0,5,5,361,1,0,0
59,entrepreneur,divorced,secondary,901,1,0,5,5,73,3,0,0
30,technician,single,secondary,2573,1,0,5,5,67,2,0,0
36,services,married,secondary,143,1,1,5,5,350,1,0,0
40,blue-collar,married,secondary,475,1,0,5,5,332,2,0,0
53,blue-collar,married,secondary,70,1,0,5,5,611,2,0,0
34,management,single,tertiary,318,1,0,5,5,113,2,0,0
37,technician,married,secondary,275,1,0,5,5,132,1,0,0
42,management,divorced,tertiary,742,1,0,5,5,58,3,0,0
41,entrepreneur,married,primary,236,1,0,5,5,151,1,0,0
30,student,single,tertiary,25,1,0,5,5,89,2,0,0
37,management,single,tertiary,600,1,0,5,5,152,1,0,0
39,admin.,divorced,secondary,-349,1,0,5,5,611,2,0,0
41,blue-collar,married,primary,183,1,1,5,5,110,2,0,0
40,blue-collar,married,primary,0,1,0,5,5,463,1,0,0
42,management,single,tertiary,0,1,1,5,5,562,2,0,1
40,blue-collar,divorced,primary,0,1,0,5,5,962,1,0,0
57,technician,married,secondary,1078,1,0,5,5,10,4,0,0
56,entrepreneur,divorced,secondary,155,0,0,5,5,118,3,0,0
37,admin.,married,secondary,190,1,0,5,5,92,2,0,0
59,retired,married,secondary,319,1,0,5,5,143,3,0,0
39,services,divorced,secondary,-185,1,0,5,5,189,3,0,0
49,services,married,secondary,47,0,0,5,5,234,2,0,0
38,services,single,secondary,570,1,0,5,5,75,2,0,0
36,self-employed,married,tertiary,19,0,0,5,5,189,2,0,0
50,blue-collar,married,primary,61,1,0,5,5,621,3,0,0
41,admin.,married,secondary,-62,1,1,5,5,55,2,0,0
54,technician,married,tertiary,258,0,0,5,5,310,4,0,0
58,blue-collar,married,primary,76,1,0,5,5,156,2,0,0
30,blue-collar,single,secondary,0,1,0,5,5,5,2,0,0
33,admin.,single,secondary,352,1,0,5,5,225,2,0,0
47,admin.,married,secondary,368,1,0,5,5,125,2,0,0
50,technician,single,tertiary,339,1,0,5,5,2,3,0,0
32,blue-collar,married,secondary,1331,1,0,5,5,286,2,0,0
40,self-employed,married,secondary,672,1,0,5,5,164,2,0,0
37,management,married,tertiary,58,1,0,5,5,98,2,0,0
24,student,single,secondary,423,1,0,5,5,226,3,0,0
54,management,married,tertiary,0,0,0,5,5,120,2,0,0
34,technician,married,secondary,19,1,0,5,5,362,4,0,0
56,technician,divorced,primary,13,1,0,5,5,357,2,0,0
31,blue-collar,single,secondary,3,1,0,5,5,200,2,0,0
24,student,single,secondary,82,1,0,5,5,204,2,0,0
42,blue-collar,divorced,primary,28,1,0,5,5,126,3,0,0
57,technician,married,secondary,792,1,0,5,5,65,2,0,0
51,admin.,married,secondary,531,1,0,5,5,267,2,0,0
57,retired,married,secondary,211,1,0,5,5,248,2,0,0
36,services,single,secondary,62,1,0,5,5,215,2,0,0
50,technician,married,secondary,1234,1,0,5,5,205,2,0,0
54,management,married,tertiary,313,1,0,5,5,83,2,0,0
55,blue-collar,married,secondary,89,1,0,5,5,106,3,0,0
44,blue-collar,married,secondary,129,1,1,5,5,189,2,0,0
56,admin.,married,secondary,353,1,0,5,5,106,2,0,0
55,services,divorced,primary,96,1,1,5,5,311,2,0,0
37,services,divorced,secondary,398,1,1,5,5,214,2,0,0
33,admin.,single,tertiary,193,0,0,5,5,132,2,0,0
46,admin.,married,secondary,-358,1,0,5,5,358,2,0,0
36,blue-collar,married,secondary,539,1,1,5,5,453,2,0,0
51,technician,single,secondary,0,1,0,5,5,364,2,0,0
40,retired,single,primary,0,0,0,5,5,136,2,0,0
42,blue-collar,married,secondary,490,1,0,5,5,386,2,0,0
51,blue-collar,married,secondary,0,1,0,5,5,173,2,0,0
48,management,married,secondary,161,1,0,5,5,224,3,0,0
32,technician,divorced,tertiary,2558,0,0,5,5,148,2,0,0
31,admin.,single,secondary,98,1,0,5,5,196,2,0,0
55,management,single,tertiary,115,0,0,5,5,111,4,0,0
40,blue-collar,single,secondary,436,1,0,5,5,231,3,0,0
47,technician,married,tertiary,831,1,0,5,5,316,3,0,0
41,blue-collar,married,secondary,290,1,0,5,5,240,2,0,0
48,blue-collar,married,secondary,1,0,0,5,5,669,3,0,0
30,blue-collar,single,secondary,-457,1,0,5,5,143,2,0,0
58,management,single,tertiary,1387,1,0,5,5,174,5,0,0
45,management,divorced,tertiary,24598,1,0,5,5,313,3,0,0
49,blue-collar,married,secondary,30,1,0,5,5,135,4,0,0
42,admin.,single,secondary,1022,1,0,5,5,146,2,0,0
53,technician,married,secondary,56,1,1,5,5,152,2,0,0
51,admin.,single,secondary,-2,0,0,5,5,402,3,0,0
32,services,single,secondary,121,1,0,5,5,213,2,0,0
41,blue-collar,single,secondary,842,1,0,5,5,144,3,0,0
43,management,divorced,secondary,693,1,0,5,5,124,3,0,0
40,blue-collar,divorced,secondary,-333,1,0,5,5,183,2,0,0
50,blue-collar,married,primary,1533,1,0,5,5,325,2,0,0
34,management,married,tertiary,46,1,0,5,5,39,4,0,0
45,technician,married,secondary,44,1,0,5,5,95,4,0,0
39,blue-collar,married,primary,-100,1,0,5,5,680,2,0,0
44,services,married,tertiary,510,1,0,5,5,421,4,0,0
55,management,married,tertiary,685,1,0,5,5,174,3,0,0
46,management,single,tertiary,187,1,0,5,5,113,2,0,0
45,blue-collar,married,secondary,66,1,0,5,5,808,2,0,0
34,admin.,married,secondary,560,1,0,5,5,198,3,0,0
36,blue-collar,married,secondary,0,1,0,5,5,195,2,0,0
31,admin.,single,secondary,12,1,0,5,5,208,2,0,0
44,blue-collar,single,secondary,34,1,0,5,5,404,4,0,0
33,entrepreneur,single,tertiary,1068,1,0,5,5,396,2,0,0
40,blue-collar,married,secondary,211,1,0,5,5,216,4,0,0
46,admin.,single,tertiary,377,1,0,5,5,98,2,0,0
48,management,married,tertiary,263,1,0,5,5,350,2,0,0
42,services,married,secondary,1263,1,0,6,5,114,2,0,0
27,services,married,secondary,8,1,0,6,5,88,3,0,0
48,admin.,married,secondary,126,1,1,6,5,379,2,0,0
59,admin.,married,secondary,230,1,0,6,5,190,3,0,0
46,technician,married,tertiary,841,1,0,6,5,158,1,0,0
38,admin.,divorced,secondary,308,1,0,6,5,102,1,0,0
43,management,divorced,tertiary,1,1,0,6,5,306,1,0,0
38,admin.,divorced,tertiary,86,1,0,6,5,218,1,0,0
23,student,single,secondary,157,1,0,6,5,54,1,0,0
34,services,married,secondary,22,1,0,6,5,344,1,0,0
38,admin.,married,secondary,46,1,1,6,5,195,1,0,0
37,blue-collar,married,secondary,1293,0,0,6,5,652,1,0,0
25,admin.,single,secondary,122,1,0,6,5,286,1,0,0
49,blue-collar,single,secondary,143,1,0,6,5,83,1,0,0
38,admin.,single,secondary,393,0,0,6,5,184,2,0,0
43,blue-collar,married,primary,98,1,0,6,5,235,1,0,0
33,management,married,tertiary,0,1,0,6,5,290,1,0,0
55,blue-collar,married,secondary,224,1,0,6,5,232,1,0,0
38,blue-collar,married,secondary,757,1,0,6,5,133,1,0,0
49,services,married,secondary,245,1,1,6,5,318,1,0,0
40,management,married,secondary,8486,0,0,6,5,260,3,0,0
38,blue-collar,married,secondary,20,1,0,6,5,402,1,0,0
58,services,married,secondary,1667,1,1,6,5,85,1,0,0
32,unemployed,married,secondary,10,1,0,6,5,501,4,0,0
56,management,married,tertiary,830,1,1,6,5,1201,1,0,1
60,retired,divorced,secondary,545,1,0,6,5,1030,1,0,1
37,technician,married,tertiary,8730,1,0,6,5,149,1,0,0
46,technician,divorced,tertiary,477,1,0,6,5,114,1,0,0
27,admin.,married,secondary,4,1,0,6,5,243,1,0,0
43,blue-collar,married,secondary,1205,1,0,6,5,769,2,0,0
32,technician,single,secondary,0,1,1,6,5,135,3,0,0
40,admin.,single,secondary,263,1,0,6,5,231,1,0,0
38,admin.,married,secondary,1,0,0,6,5,76,1,0,0
34,blue-collar,married,secondary,283,0,1,6,5,199,1,0,0
47,blue-collar,married,primary,206,1,0,6,5,152,1,0,0
42,housemaid,married,primary,17,1,0,6,5,124,1,0,0
48,technician,married,secondary,141,1,1,6,5,424,1,0,0
29,self-employed,single,tertiary,16,1,0,6,5,43,1,0,0
50,services,married,secondary,206,1,0,6,5,154,1,0,0
50,management,married,tertiary,0,0,0,6,5,326,1,0,0
58,retired,married,tertiary,0,0,0,6,5,393,1,0,0
46,blue-collar,divorced,primary,1927,1,0,6,5,241,3,0,0
38,technician,married,secondary,284,1,0,6,5,483,1,0,0
46,blue-collar,married,secondary,1660,1,0,6,5,259,1,0,0
32,services,single,secondary,406,1,0,6,5,227,1,0,0
51,blue-collar,married,primary,230,1,0,6,5,673,1,0,0
39,admin.,single,secondary,-25,1,0,6,5,576,1,0,0
48,admin.,married,secondary,182,1,0,6,5,180,2,0,0
36,entrepreneur,married,tertiary,1169,1,0,6,5,168,2,0,0
34,admin.,divorced,secondary,67,1,0,6,5,90,1,0,0
40,technician,married,secondary,77,0,0,6,5,505,1,0,0
43,unemployed,married,secondary,0,1,0,6,5,245,1,0,0
52,blue-collar,divorced,primary,55,1,1,6,5,186,1,0,0
33,technician,married,secondary,72,1,0,6,5,623,1,0,0
49,management,single,tertiary,163,1,0,6,5,496,3,0,0
32,management,single,tertiary,151,1,0,6,5,118,1,0,0
39,admin.,single,secondary,113,1,0,6,5,342,1,0,0
40,blue-collar,married,secondary,0,1,0,6,5,225,1,0,0
38,technician,single,tertiary,9,1,0,6,5,185,3,0,0
43,management,married,secondary,375,1,0,6,5,196,2,0,0
39,services,married,secondary,1142,1,0,6,5,276,1,0,0
54,blue-collar,married,primary,2102,1,0,6,5,76,1,0,0
38,technician,single,tertiary,4325,1,0,6,5,87,1,0,0
40,blue-collar,married,secondary,217,1,0,6,5,195,1,0,0
55,admin.,married,secondary,131,1,0,6,5,744,1,0,0
42,management,married,tertiary,1680,1,0,6,5,765,1,0,0
39,blue-collar,married,secondary,0,1,0,6,5,262,1,0,0
40,blue-collar,married,primary,46,1,0,6,5,119,1,0,0
32,blue-collar,married,secondary,320,1,0,6,5,198,2,0,0
55,admin.,married,secondary,183,1,0,6,5,150,1,0,0
45,blue-collar,married,secondary,39,0,0,6,5,241,1,0,0
35,management,single,tertiary,560,1,0,6,5,181,1,0,0
58,technician,divorced,secondary,469,0,0,6,5,196,1,0,0
35,admin.,married,secondary,530,1,0,6,5,149,1,0,0
49,services,married,primary,61,1,0,6,5,246,1,0,0
34,technician,single,tertiary,242,1,0,6,5,112,1,0,0
36,blue-collar,married,secondary,139,1,0,6,5,309,2,0,0
24,self-employed,single,secondary,0,1,0,6,5,278,1,0,0
34,technician,married,secondary,367,1,0,6,5,140,1,0,0
51,admin.,divorced,secondary,228,1,0,6,5,136,1,0,0
32,services,single,secondary,310,1,0,6,5,144,1,0,0
50,technician,married,secondary,797,1,0,6,5,354,1,0,0
40,services,married,secondary,71,0,0,6,5,79,1,0,0
37,management,married,tertiary,231,1,1,6,5,451,2,0,0
34,blue-collar,married,secondary,270,1,1,6,5,159,1,0,0
44,blue-collar,married,secondary,274,1,1,6,5,409,1,0,0
40,admin.,single,secondary,-109,1,1,6,5,170,1,0,0
37,technician,married,secondary,1,1,0,6,5,608,1,0,1
33,blue-collar,single,secondary,-60,0,0,6,5,243,1,0,0
35,blue-collar,married,secondary,89,1,0,6,5,145,2,0,0
58,blue-collar,divorced,secondary,-11,0,0,6,5,112,1,0,0
39,blue-collar,married,primary,0,1,0,6,5,262,2,0,0
43,blue-collar,married,secondary,-509,1,0,6,5,124,1,0,0
39,unemployed,married,primary,408,1,0,6,5,53,1,0,0
36,services,single,primary,58,1,0,6,5,134,1,0,0
57,retired,single,secondary,1640,0,1,6,5,204,4,0,0
36,admin.,single,secondary,20,1,0,6,5,186,1,0,0
50,blue-collar,married,primary,71,1,0,6,5,678,1,0,0
55,blue-collar,married,secondary,52,1,0,6,5,182,1,0,0
44,self-employed,married,tertiary,292,1,0,6,5,162,1,0,0
44,services,divorced,secondary,424,1,0,6,5,27,1,0,0
39,housemaid,single,primary,109,1,0,6,5,699,3,0,0
39,blue-collar,married,secondary,983,1,0,6,5,97,1,0,0
34,admin.,married,secondary,869,0,0,6,5,1677,1,0,1
40,blue-collar,married,primary,668,1,0,6,5,283,2,0,0
50,management,married,tertiary,964,1,0,6,5,323,1,0,0
31,management,single,secondary,301,1,0,6,5,82,1,0,0
37,admin.,single,secondary,140,1,0,6,5,310,1,0,0
39,management,single,secondary,1877,1,0,6,5,185,1,0,0
51,blue-collar,married,primary,1127,1,0,6,5,47,1,0,0
41,technician,married,secondary,871,1,0,6,5,145,1,0,0
41,technician,married,secondary,767,1,1,6,5,204,1,0,0
43,blue-collar,married,secondary,0,0,0,6,5,187,1,0,0
30,services,single,secondary,209,1,0,6,5,30,2,0,0
54,management,divorced,primary,0,0,0,6,5,472,1,0,0
43,blue-collar,divorced,secondary,110,1,1,6,5,448,1,0,0
59,management,divorced,tertiary,-76,1,1,6,5,264,1,0,0
40,blue-collar,married,primary,-66,1,0,6,5,288,1,0,0
32,technician,married,secondary,0,1,0,6,5,176,2,0,0
29,blue-collar,married,secondary,1,1,0,6,5,215,1,0,0
36,blue-collar,married,secondary,0,1,0,6,5,337,1,0,0
55,unemployed,married,tertiary,5345,0,0,6,5,278,1,0,0
30,blue-collar,divorced,secondary,-209,1,0,6,5,188,2,0,0
39,admin.,single,secondary,0,1,0,6,5,174,2,0,0
39,blue-collar,divorced,secondary,42,1,0,6,5,226,2,0,0
50,blue-collar,divorced,secondary,41,1,0,6,5,190,1,0,0
44,blue-collar,married,secondary,-99,1,0,6,5,111,2,0,0
37,technician,single,secondary,17,1,0,6,5,164,1,0,0
46,admin.,married,primary,276,1,1,6,5,157,2,0,0
37,management,single,tertiary,230,1,1,6,5,374,1,0,0
29,blue-collar,married,secondary,9,1,0,6,5,349,1,0,0
41,blue-collar,married,secondary,946,1,0,6,5,325,1,0,0
45,blue-collar,married,primary,1297,1,0,6,5,233,2,0,0
57,retired,divorced,secondary,-331,1,0,6,5,531,1,0,0
